#,Program:featureCounts
Geneid,SRR17446276.bam
AT1G47680,0
AT1G48850,1375
AT1G70440,8
AT1G65150,88
AT1G72800,39
AT1G09000,141
AT1G36160,3892
AT1G02145,539
AT1G23510,1
AT1G51690,1938
AT1G50650,4
AT1G47578,15
AT1G56105,0
AT1G06490,149
AT1G63640,673
AT1G19970,240
AT1G50110,105
AT1G21540,33
AT1G13590,131
AT1G22610,0
AT1G75110,48
AT1G73110,552
AT1G36756,0
AT1G20370,331
AT1G55510,398
AT1G77170,67
AT1G70660,279
AT1G51480,8
AT1G59359,0
AT1G26921,0
AT1G75870,0
AT1G75335,52
AT1G22830,122
AT1G09630,535
AT1G17280,771
AT1G02750,283
AT1G61070,0
AT1G15385,4
AT1G12855,13
AT1G03520,697
AT1G67880,211
AT1G36580,1
AT1G74190,0
AT1G14590,165
AT1G80625,2
AT1G08300,116
AT1G07020,170
AT1G59760,805
AT1G72570,0
AT1G01360,372
AT1G70400,0
AT1G52690,447
AT1G78750,43
AT1G15720,2
AT1G14850,631
AT1G70470,28
AT1G11820,1057
AT1G80700,58
AT1G60783,0
AT1G25230,2054
AT1G43900,765
AT1G67840,1356
AT1G64660,764
AT1G07690,1
AT1G47920,1
AT1G23680,0
AT1G18450,862
AT1G17960,44
AT1G55930,395
AT1G61400,46
AT1G03080,2102
AT1G56660,658
AT1G24130,42
AT1G54960,102
AT1G48350,4176
AT1G80330,0
AT1G14440,176
AT1G65620,40
AT1G11620,0
AT1G69490,157
AT1G78990,125
AT1G29100,0
AT1G52315,28
AT1G70100,712
AT1G61480,98
AT1G35220,751
AT1G27510,1083
AT1G65780,0
AT1G69010,1225
AT1G30870,478
AT1G56710,9
AT1G05800,0
AT1G63350,122
AT1G34827,0
AT1G03055,65
AT1G01160,687
AT1G47340,128
AT1G11170,748
AT1G62045,57
AT1G35467,0
AT1G69970,48
AT1G43145,1
AT1G20132,0
AT1G70210,743
AT1G49880,148
AT1G27060,49
AT1G30757,0
AT1G30690,1935
AT1G43760,0
AT1G35680,6378
AT1G61550,44
AT1G36745,0
AT1G58120,11
AT1G69090,0
AT1G27870,0
AT1G63710,12
AT1G03103,0
AT1G31970,1066
AT1G04960,641
AT1G68440,594
AT1G05085,0
AT1G10740,923
AT1G19040,6
AT1G32960,5
AT1G10290,2639
AT1G34020,475
AT1G20575,341
AT1G56085,0
AT1G49190,0
AT1G01730,419
AT1G26500,11
AT1G75125,50
AT1G13800,37
AT1G28380,1191
AT1G10150,0
AT1G02180,86
AT1G01180,287
AT1G04625,0
AT1G16810,1327
AT1G14160,103
AT1G55370,718
AT1G67790,0
AT1G30110,356
AT1G70640,621
AT1G71691,8
AT1G78970,655
AT1G09610,2
AT1G69190,0
AT1G34065,149
AT1G69730,75
AT1G64300,120
AT1G18180,76
AT1G53260,7
AT1G18750,109
AT1G72670,243
AT1G63090,383
AT1G67350,1161
AT1G03430,362
AT1G31670,3
AT1G48790,1584
AT1G64510,6148
AT1G10980,5
AT1G61667,277
AT1G48270,137
AT1G66570,0
AT1G35720,7534
AT1G11690,0
AT1G68880,128
AT1G72180,1128
AT1G15920,775
AT1G78020,795
AT1G63060,0
AT1G24265,67
AT1G19710,304
AT1G28050,1032
AT1G51420,228
AT1G65540,1088
AT1G21600,1846
AT1G68980,149
AT1G20270,381
AT1G73640,85
AT1G02260,544
AT1G20410,344
AT1G55675,274
AT1G19900,94
AT1G30260,73
AT1G10800,14
AT1G56140,807
AT1G74270,1073
AT1G43610,0
AT1G20050,1538
AT1G72250,294
AT1G10940,2046
AT1G02420,16
AT1G32460,20
AT1G35614,0
AT1G11390,358
AT1G25450,465
AT1G77490,4263
AT1G69250,527
AT1G14890,433
AT1G66280,990
AT1G07900,51
AT1G59218,1
AT1G33410,775
AT1G72280,150
AT1G53670,2399
AT1G78290,323
AT1G36640,7
AT1G17360,806
AT1G14150,945
AT1G03490,0
AT1G62910,21
AT1G70420,666
AT1G52590,360
AT1G29850,1115
AT1G33810,1077
AT1G19600,1938
AT1G51035,4
AT1G18340,217
AT1G53345,62
AT1G23995,0
AT1G31820,45
AT1G55350,1678
AT1G29460,296
AT1G07420,1388
AT1G04260,391
AT1G14720,1106
AT1G69550,436
AT1G62981,41
AT1G65080,233
AT1G80350,647
AT1G67060,328
AT1G68845,3
AT1G63600,3
AT1G05930,0
AT1G58265,0
AT1G74100,2521
AT1G48450,3127
AT1G15600,0
AT1G68210,0
AT1G24159,0
AT1G31910,3326
AT1G43630,0
AT1G75010,693
AT1G09700,292
AT1G12900,24015
AT1G30545,84
AT1G16840,1836
AT1G69740,5730
AT1G73280,120
AT1G30000,801
AT1G19150,2351
AT1G04860,810
AT1G60170,1352
AT1G42190,0
AT1G45010,161
AT1G76065,53
AT1G69780,347
AT1G08750,308
AT1G62305,177
AT1G28610,194
AT1G20490,88
AT1G73970,370
AT1G74580,157
AT1G52100,363
AT1G07670,1011
AT1G02890,2382
AT1G47720,113
AT1G33120,1273
AT1G30700,287
AT1G51650,1845
AT1G27840,464
AT1G63105,0
AT1G09230,489
AT1G06900,1016
AT1G06050,83
AT1G73250,228
AT1G07050,517
AT1G64810,443
AT1G75270,812
AT1G64920,52
AT1G54680,90
AT1G05950,133
AT1G33390,312
AT1G73990,1129
AT1G56210,185
AT1G35030,0
AT1G78580,976
AT1G25155,0
AT1G31720,27
AT1G80030,1565
AT1G32980,0
AT1G56620,0
AT1G50680,0
AT1G78500,4
AT1G58460,6
AT1G45145,631
AT1G53530,123
AT1G67035,30
AT1G21980,1083
AT1G05100,40
AT1G56330,2863
AT1G62500,217
AT1G72940,194
AT1G35242,1
AT1G60750,9
AT1G68120,13
AT1G47330,647
AT1G18740,756
AT1G04210,1148
AT1G66060,72
AT1G56415,0
AT1G13910,140
AT1G07780,74
AT1G54940,49
AT1G76100,5796
AT1G66100,470
AT1G27360,157
AT1G73530,687
AT1G77400,218
AT1G49290,0
AT1G67220,1
AT1G36272,0
AT1G35780,834
AT1G56460,926
AT1G16520,540
AT1G63057,0
AT1G06450,30
AT1G59722,0
AT1G51680,1735
AT1G55160,595
AT1G69150,28
AT1G66040,2
AT1G23020,882
AT1G51915,0
AT1G69380,171
AT1G54400,4
AT1G27420,59
AT1G27910,620
AT1G49040,1132
AT1G58223,0
